model,temperature,threshold,total_trials,score_available_trials,score_unavailable_trials,autonomous_decisions,deferred_decisions,autonomous_coverage,autonomous_accuracy,selective_risk,false_autonomous_acceptance_count,false_autonomous_acceptance_rate_all_trials,false_autonomous_acceptance_rate_autonomous
gpt-4o-2024-08-06,0.0,0.9973607670462994,60,60,0,33,27,0.55,0.8181818181818182,0.18181818181818182,6,0.1,0.18181818181818182
gpt-4o-2024-08-06,0.0,0.9950907467906867,60,60,0,35,25,0.5833333333333334,0.8285714285714286,0.17142857142857143,6,0.1,0.17142857142857143
gpt-4o-2024-08-06,0.0,0.9941890006345595,60,60,0,38,22,0.6333333333333333,0.7631578947368421,0.23684210526315788,9,0.15,0.23684210526315788
gpt-4o-2024-08-06,0.0,0.9924171754242901,60,60,0,39,21,0.65,0.7692307692307693,0.23076923076923078,9,0.15,0.23076923076923078
gpt-4o-2024-08-06,0.0,0.990090299214429,60,60,0,40,20,0.6666666666666666,0.775,0.225,9,0.15,0.225
gpt-4o-2024-08-06,0.0,0.9856439370166334,60,60,0,41,19,0.6833333333333333,0.7804878048780488,0.21951219512195122,9,0.15,0.21951219512195122
gpt-4o-2024-08-06,0.0,0.9827053935437768,60,60,0,42,18,0.7,0.7857142857142857,0.21428571428571427,9,0.15,0.21428571428571427
gpt-4o-2024-08-06,0.0,0.9150346779797306,60,60,0,43,17,0.7166666666666667,0.7674418604651163,0.23255813953488372,10,0.16666666666666666,0.23255813953488372
gpt-4o-2024-08-06,0.0,0.9052541480259034,60,60,0,44,16,0.7333333333333333,0.75,0.25,11,0.18333333333333332,0.25
gpt-4o-2024-08-06,0.0,0.8868103290162614,60,60,0,45,15,0.75,0.7333333333333333,0.26666666666666666,12,0.2,0.26666666666666666
gpt-4o-2024-08-06,0.0,0.8404866851046308,60,60,0,46,14,0.7666666666666667,0.717391304347826,0.2826086956521739,13,0.21666666666666667,0.2826086956521739
gpt-4o-2024-08-06,0.0,0.7786053555787753,60,60,0,48,12,0.8,0.6875,0.3125,15,0.25,0.3125
gpt-4o-2024-08-06,0.0,0.7109243210110989,60,60,0,49,11,0.8166666666666667,0.6938775510204082,0.30612244897959184,15,0.25,0.30612244897959184
gpt-4o-2024-08-06,0.0,0.6849660385826748,60,60,0,50,10,0.8333333333333334,0.68,0.32,16,0.26666666666666666,0.32
gpt-4o-2024-08-06,0.0,0.6809382638782774,60,60,0,52,8,0.8666666666666667,0.6923076923076923,0.3076923076923077,16,0.26666666666666666,0.3076923076923077
gpt-4o-2024-08-06,0.0,0.6668903089762184,60,60,0,53,7,0.8833333333333333,0.6981132075471698,0.3018867924528302,16,0.26666666666666666,0.3018867924528302
gpt-4o-2024-08-06,0.0,0.6344690046069155,60,60,0,54,6,0.9,0.7037037037037037,0.2962962962962963,16,0.26666666666666666,0.2962962962962963
gpt-4o-2024-08-06,0.0,0.5621912464275151,60,60,0,55,5,0.9166666666666666,0.6909090909090909,0.3090909090909091,17,0.2833333333333333,0.3090909090909091
gpt-4o-2024-08-06,0.0,0.5609217112070465,60,60,0,56,4,0.9333333333333333,0.6964285714285714,0.30357142857142855,17,0.2833333333333333,0.30357142857142855
