method,split,threshold,total_trials,score_available_trials,score_unavailable_trials,autonomous_decisions,deferred_decisions,autonomous_coverage,autonomous_accuracy,selective_risk,false_autonomous_acceptance_count,false_autonomous_acceptance_rate_all_trials,false_autonomous_acceptance_rate_autonomous
raw_label_likelihood,calibration,0.5621722470267585,300,300,0,296,4,0.9866666666666667,0.8040540540540541,0.19594594594594594,58,0.19333333333333333,0.19594594594594594
raw_label_likelihood,calibration,0.5619955532019433,300,300,0,297,3,0.99,0.8013468013468014,0.19865319865319866,59,0.19666666666666666,0.19865319865319866
raw_label_likelihood,calibration,0.5405346879475277,300,300,0,298,2,0.9933333333333333,0.7986577181208053,0.20134228187919462,60,0.2,0.20134228187919462
raw_label_likelihood,calibration,0.5392780554769555,300,300,0,299,1,0.9966666666666667,0.7959866220735786,0.2040133779264214,61,0.20333333333333334,0.2040133779264214
raw_label_likelihood,calibration,0.49944446478098875,300,300,0,300,0,1.0,0.7966666666666666,0.20333333333333334,61,0.20333333333333334,0.20333333333333334
raw_label_likelihood,validation,1.0,100,100,0,63,37,0.63,0.9682539682539683,0.031746031746031744,2,0.02,0.031746031746031744
raw_label_likelihood,validation,0.9999998063873693,100,100,0,67,33,0.67,0.9701492537313433,0.029850746268656716,2,0.02,0.029850746268656716
raw_label_likelihood,validation,0.9999996871837232,100,100,0,68,32,0.68,0.9705882352941176,0.029411764705882353,2,0.02,0.029411764705882353
raw_label_likelihood,validation,0.9999995679801056,100,100,0,69,31,0.69,0.9710144927536232,0.028985507246376812,2,0.02,0.028985507246376812
raw_label_likelihood,validation,0.999999448776502,100,100,0,70,30,0.7,0.9714285714285714,0.02857142857142857,2,0.02,0.02857142857142857
raw_label_likelihood,validation,0.9999993295729128,100,100,0,71,29,0.71,0.971830985915493,0.028169014084507043,2,0.02,0.028169014084507043
raw_label_likelihood,validation,0.999997064707474,100,100,0,72,28,0.72,0.9722222222222222,0.027777777777777776,2,0.02,0.027777777777777776
raw_label_likelihood,validation,0.9999932502087602,100,100,0,73,27,0.73,0.9726027397260274,0.0273972602739726,2,0.02,0.0273972602739726
raw_label_likelihood,validation,0.9999545100305701,100,100,0,74,26,0.74,0.9594594594594594,0.04054054054054054,3,0.03,0.04054054054054054
raw_label_likelihood,validation,0.9999443782297815,100,100,0,75,25,0.75,0.96,0.04,3,0.03,0.04
raw_label_likelihood,validation,0.9999239957468543,100,100,0,76,24,0.76,0.9605263157894737,0.039473684210526314,3,0.03,0.039473684210526314
raw_label_likelihood,validation,0.9999203007211879,100,100,0,77,23,0.77,0.948051948051948,0.05194805194805195,4,0.04,0.05194805194805195
raw_label_likelihood,validation,0.9998597592469344,100,100,0,78,22,0.78,0.9358974358974359,0.0641025641025641,5,0.05,0.0641025641025641
raw_label_likelihood,validation,0.9998579714472587,100,100,0,80,20,0.8,0.925,0.075,6,0.06,0.075
raw_label_likelihood,validation,0.999841289108504,100,100,0,81,19,0.81,0.9259259259259259,0.07407407407407407,6,0.06,0.07407407407407407
raw_label_likelihood,validation,0.9997964803243284,100,100,0,82,18,0.82,0.9146341463414634,0.08536585365853659,7,0.07,0.08536585365853659
raw_label_likelihood,validation,0.9996766260271772,100,100,0,83,17,0.83,0.9036144578313253,0.0963855421686747,8,0.08,0.0963855421686747
raw_label_likelihood,validation,0.9996005117567388,100,100,0,84,16,0.84,0.8928571428571429,0.10714285714285714,9,0.09,0.10714285714285714
raw_label_likelihood,validation,0.9991809395021376,100,100,0,85,15,0.85,0.8941176470588236,0.10588235294117647,9,0.09,0.10588235294117647
raw_label_likelihood,validation,0.9990888326383259,100,100,0,86,14,0.86,0.8953488372093024,0.10465116279069768,9,0.09,0.10465116279069768
raw_label_likelihood,validation,0.9985695957594872,100,100,0,87,13,0.87,0.896551724137931,0.10344827586206896,9,0.09,0.10344827586206896
raw_label_likelihood,validation,0.998072988160571,100,100,0,88,12,0.88,0.8863636363636364,0.11363636363636363,10,0.1,0.11363636363636363
raw_label_likelihood,validation,0.9978665310433893,100,100,0,89,11,0.89,0.8764044943820225,0.12359550561797752,11,0.11,0.12359550561797752
raw_label_likelihood,validation,0.9958067109214287,100,100,0,90,10,0.9,0.8666666666666667,0.13333333333333333,12,0.12,0.13333333333333333
raw_label_likelihood,validation,0.9937978534947751,100,100,0,91,9,0.91,0.8571428571428571,0.14285714285714285,13,0.13,0.14285714285714285
raw_label_likelihood,validation,0.9791703344099318,100,100,0,92,8,0.92,0.8586956521739131,0.14130434782608695,13,0.13,0.14130434782608695
raw_label_likelihood,validation,0.8983711555622185,100,100,0,93,7,0.93,0.8494623655913979,0.15053763440860216,14,0.14,0.15053763440860216
raw_label_likelihood,validation,0.8175737973670583,100,100,0,94,6,0.94,0.8404255319148937,0.1595744680851064,15,0.15,0.1595744680851064
raw_label_likelihood,validation,0.81749379684073,100,100,0,95,5,0.95,0.8315789473684211,0.16842105263157894,16,0.16,0.16842105263157894
raw_label_likelihood,validation,0.7844296950126372,100,100,0,96,4,0.96,0.8229166666666666,0.17708333333333334,17,0.17,0.17708333333333334
raw_label_likelihood,validation,0.7103721641633709,100,100,0,97,3,0.97,0.8144329896907216,0.18556701030927836,18,0.18,0.18556701030927836
raw_label_likelihood,validation,0.6791290873622412,100,100,0,98,2,0.98,0.8061224489795918,0.19387755102040816,19,0.19,0.19387755102040816
raw_label_likelihood,validation,0.6786383324434777,100,100,0,99,1,0.99,0.8080808080808081,0.1919191919191919,19,0.19,0.1919191919191919
raw_label_likelihood,validation,0.6216771477290204,100,100,0,100,0,1.0,0.81,0.19,19,0.19,0.19
candidate_normalized,calibration,0.9999999999967584,300,110,190,1,299,0.0033333333333333335,1.0,0.0,0,0.0,0.0
candidate_normalized,calibration,0.9999999999632108,300,110,190,2,298,0.006666666666666667,1.0,0.0,0,0.0,0.0
candidate_normalized,calibration,0.9999999999588682,300,110,190,3,297,0.01,1.0,0.0,0,0.0,0.0
candidate_normalized,calibration,0.9999999997373306,300,110,190,4,296,0.013333333333333334,1.0,0.0,0,0.0,0.0
candidate_normalized,calibration,0.9999999994330928,300,110,190,5,295,0.016666666666666666,1.0,0.0,0,0.0,0.0
candidate_normalized,calibration,0.9999999992175166,300,110,190,6,294,0.02,1.0,0.0,0,0.0,0.0
candidate_normalized,calibration,0.9999999987606154,300,110,190,7,293,0.023333333333333334,1.0,0.0,0,0.0,0.0
candidate_normalized,calibration,0.9999999983080723,300,110,190,8,292,0.02666666666666667,1.0,0.0,0,0.0,0.0
candidate_normalized,calibration,0.9999999981300842,300,110,190,9,291,0.03,1.0,0.0,0,0.0,0.0
candidate_normalized,calibration,0.9999999980805667,300,110,190,10,290,0.03333333333333333,1.0,0.0,0,0.0,0.0
candidate_normalized,calibration,0.9999999979225724,300,110,190,11,289,0.03666666666666667,1.0,0.0,0,0.0,0.0
candidate_normalized,calibration,0.999999996643679,300,110,190,12,288,0.04,1.0,0.0,0,0.0,0.0
candidate_normalized,calibration,0.9999999965925539,300,110,190,13,287,0.043333333333333335,1.0,0.0,0,0.0,0.0
candidate_normalized,calibration,0.9999999965620092,300,110,190,14,286,0.04666666666666667,1.0,0.0,0,0.0,0.0
candidate_normalized,calibration,0.999999995240737,300,110,190,15,285,0.05,1.0,0.0,0,0.0,0.0
candidate_normalized,calibration,0.9999999950367235,300,110,190,16,284,0.05333333333333334,1.0,0.0,0,0.0,0.0
candidate_normalized,calibration,0.9999999949638936,300,110,190,17,283,0.056666666666666664,1.0,0.0,0,0.0,0.0
candidate_normalized,calibration,0.9999999949241036,300,110,190,18,282,0.06,1.0,0.0,0,0.0,0.0
candidate_normalized,calibration,0.9999999942230691,300,110,190,19,281,0.06333333333333334,1.0,0.0,0,0.0,0.0
candidate_normalized,calibration,0.9999999928207404,300,110,190,20,280,0.06666666666666667,1.0,0.0,0,0.0,0.0
candidate_normalized,calibration,0.999999991865839,300,110,190,21,279,0.07,1.0,0.0,0,0.0,0.0
candidate_normalized,calibration,0.9999999887794931,300,110,190,22,278,0.07333333333333333,1.0,0.0,0,0.0,0.0
candidate_normalized,calibration,0.9999999881279723,300,110,190,23,277,0.07666666666666666,1.0,0.0,0,0.0,0.0
candidate_normalized,calibration,0.9999999849204839,300,110,190,24,276,0.08,1.0,0.0,0,0.0,0.0
candidate_normalized,calibration,0.999999983322721,300,110,190,25,275,0.08333333333333333,1.0,0.0,0,0.0,0.0
candidate_normalized,calibration,0.9999999831600571,300,110,190,26,274,0.08666666666666667,1.0,0.0,0,0.0,0.0
candidate_normalized,calibration,0.9999999802323212,300,110,190,27,273,0.09,1.0,0.0,0,0.0,0.0
candidate_normalized,calibration,0.9999999777782778,300,110,190,28,272,0.09333333333333334,1.0,0.0,0,0.0,0.0
candidate_normalized,calibration,0.9999999707644123,300,110,190,29,271,0.09666666666666666,1.0,0.0,0,0.0,0.0
candidate_normalized,calibration,0.999999966232415,300,110,190,30,270,0.1,1.0,0.0,0,0.0,0.0
candidate_normalized,calibration,0.9999999629826231,300,110,190,31,269,0.10333333333333333,1.0,0.0,0,0.0,0.0
candidate_normalized,calibration,0.9999999595986563,300,110,190,32,268,0.10666666666666667,1.0,0.0,0,0.0,0.0
candidate_normalized,calibration,0.9999999589322962,300,110,190,33,267,0.11,1.0,0.0,0,0.0,0.0
candidate_normalized,calibration,0.9999998867186815,300,110,190,34,266,0.11333333333333333,1.0,0.0,0,0.0,0.0
candidate_normalized,calibration,0.9999998439447503,300,110,190,35,265,0.11666666666666667,1.0,0.0,0,0.0,0.0
candidate_normalized,calibration,0.9999997608696377,300,110,190,36,264,0.12,1.0,0.0,0,0.0,0.0
candidate_normalized,calibration,0.9999997587014515,300,110,190,37,263,0.12333333333333334,0.972972972972973,0.02702702702702703,1,0.0033333333333333335,0.02702702702702703
candidate_normalized,calibration,0.9999996938208366,300,110,190,38,262,0.12666666666666668,0.9736842105263158,0.02631578947368421,1,0.0033333333333333335,0.02631578947368421
candidate_normalized,calibration,0.999999668025407,300,110,190,39,261,0.13,0.9743589743589743,0.02564102564102564,1,0.0033333333333333335,0.02564102564102564
candidate_normalized,calibration,0.9999996066655279,300,110,190,40,260,0.13333333333333333,0.975,0.025,1,0.0033333333333333335,0.025
candidate_normalized,calibration,0.9999995486493681,300,110,190,41,259,0.13666666666666666,0.9512195121951219,0.04878048780487805,2,0.006666666666666667,0.04878048780487805
candidate_normalized,calibration,0.99999953053323,300,110,190,42,258,0.14,0.9523809523809523,0.047619047619047616,2,0.006666666666666667,0.047619047619047616
candidate_normalized,calibration,0.999999512258651,300,110,190,43,257,0.14333333333333334,0.9302325581395349,0.06976744186046512,3,0.01,0.06976744186046512
candidate_normalized,calibration,0.9999994955248288,300,110,190,44,256,0.14666666666666667,0.9318181818181818,0.06818181818181818,3,0.01,0.06818181818181818
candidate_normalized,calibration,0.999999419736494,300,110,190,45,255,0.15,0.9333333333333333,0.06666666666666667,3,0.01,0.06666666666666667
candidate_normalized,calibration,0.9999994041844642,300,110,190,46,254,0.15333333333333332,0.9347826086956522,0.06521739130434782,3,0.01,0.06521739130434782
candidate_normalized,calibration,0.9999993476951271,300,110,190,47,253,0.15666666666666668,0.9361702127659575,0.06382978723404255,3,0.01,0.06382978723404255
candidate_normalized,calibration,0.9999993386484021,300,110,190,48,252,0.16,0.9375,0.0625,3,0.01,0.0625
candidate_normalized,calibration,0.999999331375495,300,110,190,49,251,0.16333333333333333,0.9387755102040817,0.061224489795918366,3,0.01,0.061224489795918366
candidate_normalized,calibration,0.9999990960294927,300,110,190,50,250,0.16666666666666666,0.94,0.06,3,0.01,0.06
candidate_normalized,calibration,0.9999987859739333,300,110,190,51,249,0.17,0.9411764705882353,0.058823529411764705,3,0.01,0.058823529411764705
candidate_normalized,calibration,0.999998514231938,300,110,190,52,248,0.17333333333333334,0.9423076923076923,0.057692307692307696,3,0.01,0.057692307692307696
candidate_normalized,calibration,0.9999961893305018,300,110,190,53,247,0.17666666666666667,0.9245283018867925,0.07547169811320754,4,0.013333333333333334,0.07547169811320754
candidate_normalized,calibration,0.9999946664849255,300,110,190,54,246,0.18,0.9259259259259259,0.07407407407407407,4,0.013333333333333334,0.07407407407407407
candidate_normalized,calibration,0.9999925782364231,300,110,190,55,245,0.18333333333333332,0.9090909090909091,0.09090909090909091,5,0.016666666666666666,0.09090909090909091
