cohort,condition,threshold,total_trials,score_available_trials,score_unavailable_trials,autonomous_decisions,deferred_decisions,autonomous_coverage,autonomous_accuracy,selective_risk,false_autonomous_acceptance_count,false_autonomous_acceptance_rate_all_trials,false_autonomous_acceptance_rate_autonomous
pooled,label_only,0.9999920581810099,112,112,0,99,13,0.8839285714285714,0.9191919191919192,0.08080808080808081,8,0.07142857142857142,0.08080808080808081
pooled,label_only,0.9999832372181827,112,112,0,100,12,0.8928571428571429,0.91,0.09,9,0.08035714285714286,0.09
pooled,label_only,0.9999545100305701,112,112,0,101,11,0.9017857142857143,0.9108910891089109,0.0891089108910891,9,0.08035714285714286,0.0891089108910891
pooled,label_only,0.9996986644778745,112,112,0,102,10,0.9107142857142857,0.9019607843137255,0.09803921568627451,10,0.08928571428571429,0.09803921568627451
pooled,label_only,0.9994703412904241,112,112,0,103,9,0.9196428571428571,0.8932038834951457,0.10679611650485436,11,0.09821428571428571,0.10679611650485436
pooled,label_only,0.9987995393411512,112,112,0,104,8,0.9285714285714286,0.8942307692307693,0.10576923076923077,11,0.09821428571428571,0.10576923076923077
pooled,label_only,0.9984987679933719,112,112,0,105,7,0.9375,0.8857142857142857,0.11428571428571428,12,0.10714285714285714,0.11428571428571428
pooled,label_only,0.9980728690648153,112,112,0,106,6,0.9464285714285714,0.8867924528301887,0.11320754716981132,12,0.10714285714285714,0.11320754716981132
pooled,label_only,0.9975274032511579,112,112,0,107,5,0.9553571428571429,0.8785046728971962,0.12149532710280374,13,0.11607142857142858,0.12149532710280374
pooled,label_only,0.9975182728864525,112,112,0,108,4,0.9642857142857143,0.8796296296296297,0.12037037037037036,13,0.11607142857142858,0.12037037037037036
pooled,label_only,0.996768933183916,112,112,0,109,3,0.9732142857142857,0.8807339449541285,0.11926605504587157,13,0.11607142857142858,0.11926605504587157
pooled,label_only,0.9698038746272593,112,112,0,110,2,0.9821428571428571,0.8818181818181818,0.11818181818181818,13,0.11607142857142858,0.11818181818181818
pooled,label_only,0.9525726998385136,112,112,0,111,1,0.9910714285714286,0.8738738738738738,0.12612612612612611,14,0.125,0.12612612612612611
pooled,label_only,0.6384734695161306,112,112,0,112,0,1.0,0.875,0.125,14,0.125,0.125
pooled,label_then_evidence,1.0,112,112,0,77,35,0.6875,0.974025974025974,0.025974025974025976,2,0.017857142857142856,0.025974025974025976
pooled,label_then_evidence,0.9999998063873693,112,112,0,80,32,0.7142857142857143,0.975,0.025,2,0.017857142857142856,0.025
pooled,label_then_evidence,0.9999996871837232,112,112,0,83,29,0.7410714285714286,0.963855421686747,0.03614457831325301,3,0.026785714285714284,0.03614457831325301
pooled,label_then_evidence,0.9999995679801056,112,112,0,84,28,0.75,0.9642857142857143,0.03571428571428571,3,0.026785714285714284,0.03571428571428571
pooled,label_then_evidence,0.999999448776502,112,112,0,85,27,0.7589285714285714,0.9529411764705882,0.047058823529411764,4,0.03571428571428571,0.047058823529411764
pooled,label_then_evidence,0.999999091165777,112,112,0,86,26,0.7678571428571429,0.9534883720930233,0.046511627906976744,4,0.03571428571428571,0.046511627906976744
pooled,label_then_evidence,0.9999988527586979,112,112,0,87,25,0.7767857142857143,0.9540229885057471,0.04597701149425287,4,0.03571428571428571,0.04597701149425287
pooled,label_then_evidence,0.999998137537802,112,112,0,88,24,0.7857142857142857,0.9545454545454546,0.045454545454545456,4,0.03571428571428571,0.045454545454545456
