condition,model,scope,state,target_family,threshold,family_total,family_retained_lower,family_retained_upper,family_rate_lower,family_rate_upper,unrelated_total,unrelated_retained_lower,unrelated_retained_upper,unrelated_rate_lower,unrelated_rate_upper,own_total,own_retained_lower,own_retained_upper,own_rate_lower,own_rate_upper
baseline,qwen3.5:4b,autonomous_depth_only,state_202,all,0.99,25,0,0,0.0,0.0,96,0,0,0.0,0.0,11,0,0,0.0,0.0
baseline,qwen3.5:4b,autonomous_depth_only,state_202,all,0.995,25,0,0,0.0,0.0,96,0,0,0.0,0.0,11,0,0,0.0,0.0
baseline,qwen3.5:4b,autonomous_depth_only,state_202,all,0.999,25,0,0,0.0,0.0,96,0,0,0.0,0.0,11,0,0,0.0,0.0
baseline,qwen3.5:4b,autonomous_depth_only,state_202,all,0.9999,25,0,0,0.0,0.0,96,0,0,0.0,0.0,11,0,0,0.0,0.0
baseline,qwen3.5:4b,autonomous_depth_only,state_202,all,0.99999,25,0,0,0.0,0.0,96,0,0,0.0,0.0,11,0,0,0.0,0.0
baseline,qwen3.5:4b,autonomous_depth_only,state_202,all,0.999999,25,0,0,0.0,0.0,96,0,0,0.0,0.0,11,0,0,0.0,0.0
baseline,qwen3.5:4b,autonomous_depth_only,state_303,all,0.4,24,21,21,0.875,0.875,86,11,11,0.12790697674418605,0.12790697674418605,10,8,8,0.8,0.8
baseline,qwen3.5:4b,autonomous_depth_only,state_303,all,0.5,24,21,21,0.875,0.875,86,5,5,0.05813953488372093,0.05813953488372093,10,8,8,0.8,0.8
baseline,qwen3.5:4b,autonomous_depth_only,state_303,all,0.6,24,20,20,0.8333333333333334,0.8333333333333334,86,1,1,0.011627906976744186,0.011627906976744186,10,8,8,0.8,0.8
baseline,qwen3.5:4b,autonomous_depth_only,state_303,all,0.65,24,17,17,0.7083333333333334,0.7083333333333334,86,1,1,0.011627906976744186,0.011627906976744186,10,7,7,0.7,0.7
baseline,qwen3.5:4b,autonomous_depth_only,state_303,all,0.7,24,14,14,0.5833333333333334,0.5833333333333334,86,1,1,0.011627906976744186,0.011627906976744186,10,6,6,0.6,0.6
baseline,qwen3.5:4b,autonomous_depth_only,state_303,all,0.8,24,7,7,0.2916666666666667,0.2916666666666667,86,1,1,0.011627906976744186,0.011627906976744186,10,3,3,0.3,0.3
baseline,qwen3.5:4b,autonomous_depth_only,state_303,all,0.9,24,1,1,0.041666666666666664,0.041666666666666664,86,0,0,0.0,0.0,10,0,0,0.0,0.0
baseline,qwen3.5:4b,autonomous_depth_only,state_303,all,0.95,24,0,0,0.0,0.0,86,0,0,0.0,0.0,10,0,0,0.0,0.0
baseline,qwen3.5:4b,autonomous_depth_only,state_303,all,0.97,24,0,0,0.0,0.0,86,0,0,0.0,0.0,10,0,0,0.0,0.0
baseline,qwen3.5:4b,autonomous_depth_only,state_303,all,0.98,24,0,0,0.0,0.0,86,0,0,0.0,0.0,10,0,0,0.0,0.0
baseline,qwen3.5:4b,autonomous_depth_only,state_303,all,0.99,24,0,0,0.0,0.0,86,0,0,0.0,0.0,10,0,0,0.0,0.0
baseline,qwen3.5:4b,autonomous_depth_only,state_303,all,0.995,24,0,0,0.0,0.0,86,0,0,0.0,0.0,10,0,0,0.0,0.0
baseline,qwen3.5:4b,autonomous_depth_only,state_303,all,0.999,24,0,0,0.0,0.0,86,0,0,0.0,0.0,10,0,0,0.0,0.0
baseline,qwen3.5:4b,autonomous_depth_only,state_303,all,0.9999,24,0,0,0.0,0.0,86,0,0,0.0,0.0,10,0,0,0.0,0.0
baseline,qwen3.5:4b,autonomous_depth_only,state_303,all,0.99999,24,0,0,0.0,0.0,86,0,0,0.0,0.0,10,0,0,0.0,0.0
baseline,qwen3.5:4b,autonomous_depth_only,state_303,all,0.999999,24,0,0,0.0,0.0,86,0,0,0.0,0.0,10,0,0,0.0,0.0
baseline,qwen3.5:4b,autonomous_depth_only,all,all,0.4,98,93,93,0.9489795918367347,0.9489795918367347,364,34,34,0.09340659340659341,0.09340659340659341,42,40,40,0.9523809523809523,0.9523809523809523
baseline,qwen3.5:4b,autonomous_depth_only,all,all,0.5,98,89,89,0.9081632653061225,0.9081632653061225,364,20,20,0.054945054945054944,0.054945054945054944,42,38,38,0.9047619047619048,0.9047619047619048
baseline,qwen3.5:4b,autonomous_depth_only,all,all,0.6,98,86,86,0.8775510204081632,0.8775510204081632,364,10,10,0.027472527472527472,0.027472527472527472,42,37,37,0.8809523809523809,0.8809523809523809
baseline,qwen3.5:4b,autonomous_depth_only,all,all,0.65,98,77,77,0.7857142857142857,0.7857142857142857,364,8,8,0.02197802197802198,0.02197802197802198,42,33,33,0.7857142857142857,0.7857142857142857
baseline,qwen3.5:4b,autonomous_depth_only,all,all,0.7,98,62,62,0.6326530612244898,0.6326530612244898,364,4,4,0.01098901098901099,0.01098901098901099,42,27,27,0.6428571428571429,0.6428571428571429
baseline,qwen3.5:4b,autonomous_depth_only,all,all,0.8,98,32,32,0.32653061224489793,0.32653061224489793,364,2,2,0.005494505494505495,0.005494505494505495,42,13,13,0.30952380952380953,0.30952380952380953
baseline,qwen3.5:4b,autonomous_depth_only,all,all,0.9,98,1,1,0.01020408163265306,0.01020408163265306,364,0,0,0.0,0.0,42,0,0,0.0,0.0
baseline,qwen3.5:4b,autonomous_depth_only,all,all,0.95,98,0,0,0.0,0.0,364,0,0,0.0,0.0,42,0,0,0.0,0.0
baseline,qwen3.5:4b,autonomous_depth_only,all,all,0.97,98,0,0,0.0,0.0,364,0,0,0.0,0.0,42,0,0,0.0,0.0
baseline,qwen3.5:4b,autonomous_depth_only,all,all,0.98,98,0,0,0.0,0.0,364,0,0,0.0,0.0,42,0,0,0.0,0.0
baseline,qwen3.5:4b,autonomous_depth_only,all,all,0.99,98,0,0,0.0,0.0,364,0,0,0.0,0.0,42,0,0,0.0,0.0
baseline,qwen3.5:4b,autonomous_depth_only,all,all,0.995,98,0,0,0.0,0.0,364,0,0,0.0,0.0,42,0,0,0.0,0.0
baseline,qwen3.5:4b,autonomous_depth_only,all,all,0.999,98,0,0,0.0,0.0,364,0,0,0.0,0.0,42,0,0,0.0,0.0
baseline,qwen3.5:4b,autonomous_depth_only,all,all,0.9999,98,0,0,0.0,0.0,364,0,0,0.0,0.0,42,0,0,0.0,0.0
baseline,qwen3.5:4b,autonomous_depth_only,all,all,0.99999,98,0,0,0.0,0.0,364,0,0,0.0,0.0,42,0,0,0.0,0.0
baseline,qwen3.5:4b,autonomous_depth_only,all,all,0.999999,98,0,0,0.0,0.0,364,0,0,0.0,0.0,42,0,0,0.0,0.0
family_ablation,qwen3.5:4b,all_crops,original,all,0.4,25,25,25,1.0,1.0,96,11,11,0.11458333333333333,0.11458333333333333,11,11,11,1.0,1.0
family_ablation,qwen3.5:4b,all_crops,original,all,0.5,25,25,25,1.0,1.0,96,7,7,0.07291666666666667,0.07291666666666667,11,11,11,1.0,1.0
family_ablation,qwen3.5:4b,all_crops,original,all,0.6,25,25,25,1.0,1.0,96,6,6,0.0625,0.0625,11,11,11,1.0,1.0
family_ablation,qwen3.5:4b,all_crops,original,all,0.65,25,25,25,1.0,1.0,96,5,5,0.052083333333333336,0.052083333333333336,11,11,11,1.0,1.0
family_ablation,qwen3.5:4b,all_crops,original,all,0.7,25,23,23,0.92,0.92,96,5,5,0.052083333333333336,0.052083333333333336,11,10,10,0.9090909090909091,0.9090909090909091
