condition,model,scope,state,target_family,comparisons,family_pairs,unrelated_pairs,family_vs_unrelated_auc_lower,family_vs_unrelated_auc_upper,missing_exact_p_A,all_count,all_C_count,all_C_frequency,all_mean_p_A_lower,all_mean_p_A_upper,all_mean_p_C_lower,all_mean_p_C_upper,family_count,family_C_count,family_C_frequency,family_mean_p_A_lower,family_mean_p_A_upper,family_mean_p_C_lower,family_mean_p_C_upper,unrelated_count,unrelated_C_count,unrelated_C_frequency,unrelated_mean_p_A_lower,unrelated_mean_p_A_upper,unrelated_mean_p_C_lower,unrelated_mean_p_C_upper,own_count,own_C_count,own_C_frequency,own_mean_p_A_lower,own_mean_p_A_upper,own_mean_p_C_lower,own_mean_p_C_upper,macro_family_auc_lower,macro_family_auc_upper,macro_family_count
family_ablation,qwen3.5:4b,autonomous_depth_only,original,all,121,25,96,0.9883333333333333,0.9883333333333333,0,121,76,0.628099173553719,0.2947927876303279,0.2947927876303279,0.5155602825986989,0.5155602825986989,25,0,0.0,0.8554058331009685,0.8554058331009685,0.07986549037281993,0.07986549037281993,96,76,0.7916666666666666,0.14879980703901527,0.14879980703901527,0.6290224680741882,0.6290224680741882,11,0,0.0,0.8490552901477098,0.8490552901477098,0.07892880805657197,0.07892880805657197,0.9930555555555557,0.9930555555555557,6
family_ablation,qwen3.5:4b,autonomous_depth_only,state_101,all,110,24,86,0.9786821705426356,0.9786821705426356,0,110,67,0.6090909090909091,0.2959062793663536,0.2959062793663536,0.5140036914976411,0.5140036914976411,24,0,0.0,0.835230348541549,0.835230348541549,0.08873356933967806,0.08873356933967806,86,67,0.7790697674418605,0.14539723680583397,0.14539723680583397,0.6326837255882356,0.6326837255882356,10,0,0.0,0.8218991675917451,0.8218991675917451,0.0935056379962545,0.0935056379962545,1.0,1.0,5
family_ablation,qwen3.5:4b,autonomous_depth_only,state_202,all,121,25,96,0.99375,0.99375,0,121,77,0.6363636363636364,0.2917273955768141,0.2917273955768141,0.5012225519038848,0.5012225519038848,25,0,0.0,0.8629343079297523,0.8629343079297523,0.06727638463960506,0.06727638463960506,96,77,0.8020833333333334,0.14297559548490316,0.14297559548490316,0.6142293662956243,0.6142293662956243,11,0,0.0,0.858180246658392,0.858180246658392,0.0669549934068718,0.0669549934068718,0.9833333333333334,0.9833333333333334,6
family_ablation,qwen3.5:4b,autonomous_depth_only,state_303,all,110,24,86,0.9801356589147286,0.9801356589147286,0,110,70,0.6363636363636364,0.29699916363431766,0.29699916363431766,0.5182573259748784,0.5182573259748784,24,0,0.0,0.817135323488008,0.817135323488008,0.10362628141669021,0.10362628141669021,86,70,0.813953488372093,0.15184488646584587,0.15184488646584587,0.6339683151539076,0.6339683151539076,10,0,0.0,0.7925140433154318,0.7925140433154318,0.11512696061306157,0.11512696061306157,0.9777777777777779,0.9777777777777779,5
family_ablation,qwen3.5:4b,autonomous_depth_only,all,all,462,98,364,0.9861516034985423,0.9861516034985423,0,462,290,0.6277056277056277,0.2947803915544113,0.2947803915544113,0.5120766989108004,0.5120766989108004,98,0,0.0,0.8430130576987489,0.8430130576987489,0.08464472748432103,0.08464472748432103,364,290,0.7967032967032966,0.14717928913093578,0.14717928913093578,0.6271545373717756,0.6271545373717756,42,0,0.0,0.8315172146175926,0.8315172146175926,0.08788209052835814,0.08788209052835814,0.9871832358674464,0.9871832358674464,6
baseline,qwen3.5:9b,all_crops,original,all,121,25,96,0.99,0.99,0,121,9,0.0743801652892562,0.47574484747291573,0.47574484747291573,0.18699939684860528,0.18699939684860528,25,0,0.0,0.9845503640277211,0.9845503640277211,0.01072364164861063,0.01072364164861063,96,9,0.09375,0.3432434108701019,0.3432434108701019,0.2329045414319372,0.2329045414319372,11,0,0.0,0.9839574747970452,0.9839574747970452,0.011129712468230472,0.011129712468230472,1.0,1.0,6
baseline,qwen3.5:9b,all_crops,state_101,all,121,25,96,0.9641666666666666,0.9641666666666666,0,121,18,0.1487603305785124,0.4557622280021152,0.4557622280021152,0.22654996769951494,0.22654996769951494,25,0,0.0,0.9733698655987721,0.9733698655987721,0.018490223753209644,0.018490223753209644,96,18,0.1875,0.32096857237798576,0.32096857237798576,0.28073219268553196,0.28073219268553196,11,0,0.0,0.9766335651639166,0.9766335651639166,0.016152386403870008,0.016152386403870008,0.9771604938271605,0.9771604938271605,6
baseline,qwen3.5:9b,all_crops,state_202,all,121,25,96,0.9791666666666666,0.9791666666666666,0,121,6,0.049586776859504134,0.4721580480255053,0.4721580480255053,0.17983383193231867,0.17983383193231867,25,0,0.0,0.9748566171582734,0.9748566171582734,0.014946633904389044,0.014946633904389044,96,6,0.0625,0.34124696231384694,0.34124696231384694,0.22277320641875864,0.22277320641875864,11,0,0.0,0.9722705749517023,0.9722705749517023,0.016576496286721455,0.016576496286721455,0.9771604938271604,0.9771604938271604,6
baseline,qwen3.5:9b,all_crops,state_303,all,121,25,96,0.97625,0.97625,0,121,7,0.05785123966942149,0.48262049965609016,0.48262049965609016,0.18143506691354216,0.18143506691354216,25,0,0.0,0.9804785324683966,0.9804785324683966,0.012768651079425004,0.012768651079425004,96,7,0.07291666666666667,0.3529699702778854,0.3529699702778854,0.22535861270367677,0.22535861270367677,11,0,0.0,0.9791334002585595,0.9791334002585595,0.013260136125836312,0.013260136125836312,0.9771604938271604,0.9771604938271604,6
baseline,qwen3.5:9b,all_crops,all,all,484,100,384,0.9780989583333334,0.9780989583333334,0,484,40,0.08264462809917356,0.47157140578915663,0.47157140578915663,0.19370456584849527,0.19370456584849527,100,0,0.0,0.9783138448132909,0.9783138448132909,0.014232287596408584,0.014232287596408584,384,40,0.10416666666666667,0.339607228959955,0.339607228959955,0.24044213830997616,0.24044213830997616,44,0,0.0,0.9779987537928058,0.9779987537928058,0.014279682821164562,0.014279682821164562,0.9849826388888889,0.9849826388888889,6
