condition,model,scope,state,target_family,comparisons,family_pairs,unrelated_pairs,family_vs_unrelated_auc_lower,family_vs_unrelated_auc_upper,missing_exact_p_A,all_count,all_C_count,all_C_frequency,all_mean_p_A_lower,all_mean_p_A_upper,all_mean_p_C_lower,all_mean_p_C_upper,family_count,family_C_count,family_C_frequency,family_mean_p_A_lower,family_mean_p_A_upper,family_mean_p_C_lower,family_mean_p_C_upper,unrelated_count,unrelated_C_count,unrelated_C_frequency,unrelated_mean_p_A_lower,unrelated_mean_p_A_upper,unrelated_mean_p_C_lower,unrelated_mean_p_C_upper,own_count,own_C_count,own_C_frequency,own_mean_p_A_lower,own_mean_p_A_upper,own_mean_p_C_lower,own_mean_p_C_upper
family_ablation,qwen3.5:4b,all_crops,original,hex_nut,22,4,18,1.0,1.0,0,22,14,0.6363636363636364,0.17805508600952816,0.17805508600952816,0.5421676518987721,0.5421676518987721,4,0,0.0,0.7283286717259516,0.7283286717259516,0.15660407184049188,0.15660407184049188,18,14,0.7777777777777778,0.055772066961434046,0.055772066961434046,0.627848447467279,0.627848447467279,2,0,0.0,0.7283286717259516,0.7283286717259516,0.15660407184049185,0.15660407184049185
family_ablation,qwen3.5:4b,all_crops,original,round_pin,33,9,24,1.0,1.0,0,33,21,0.6363636363636364,0.36246762860512466,0.36246762860512466,0.40342007325144896,0.40342007325144896,9,0,0.0,0.9068424703053657,0.9068424703053657,0.05851833096003711,0.05851833096003711,24,21,0.875,0.1583270629675342,0.1583270629675342,0.5327582266107284,0.5327582266107284,3,0,0.0,0.9068424703053656,0.9068424703053656,0.05851833096003711,0.05851833096003711
family_ablation,qwen3.5:4b,all_crops,original,Waterproof_Male,11,1,10,1.0,1.0,0,11,5,0.45454545454545453,0.3528923830578805,0.3528923830578805,0.47361850844151,0.47361850844151,1,0,0.0,0.8729751709970281,0.8729751709970281,0.055018780915478405,0.055018780915478405,10,5,0.5,0.3008841042639657,0.3008841042639657,0.5154784811941132,0.5154784811941132,1,0,0.0,0.8729751709970281,0.8729751709970281,0.055018780915478405,0.055018780915478405
family_ablation,qwen3.5:4b,all_crops,original,USB_Male,11,1,10,1.0,1.0,0,11,10,0.9090909090909091,0.14537722330563982,0.14537722330563982,0.6979060107298026,0.6979060107298026,1,0,0.0,0.8765800641234416,0.8765800641234416,0.02668556674647683,0.02668556674647683,10,10,1.0,0.07225693922385963,0.07225693922385963,0.7650280551281352,0.7650280551281352,1,0,0.0,0.8765800641234416,0.8765800641234416,0.02668556674647683,0.02668556674647683
family_ablation,qwen3.5:4b,all_crops,original,DSUB_Male,11,1,10,1.0,1.0,0,11,8,0.7272727272727273,0.2110629186408591,0.2110629186408591,0.668935811619953,0.668935811619953,1,0,0.0,0.8389554668286853,0.8389554668286853,0.06569828377074137,0.06569828377074137,10,8,0.8,0.14827366382207646,0.14827366382207646,0.7292595644048742,0.7292595644048742,1,0,0.0,0.8389554668286853,0.8389554668286853,0.06569828377074137,0.06569828377074137
family_ablation,qwen3.5:4b,all_crops,state_101,gear,33,9,24,1.0,1.0,0,33,18,0.5454545454545454,0.3875034526589522,0.3875034526589522,0.4922257259677056,0.4922257259677056,9,0,0.0,0.9066910355646206,0.9066910355646206,0.04851484056575145,0.04851484056575145,24,18,0.75,0.19280810906932655,0.19280810906932655,0.6586173079934384,0.6586173079934384,3,0,0.0,0.9066910355646206,0.9066910355646206,0.04851484056575145,0.04851484056575145
family_ablation,qwen3.5:4b,all_crops,state_101,hex_nut,22,4,18,1.0,1.0,0,22,12,0.5454545454545454,0.14027845235330882,0.14027845235330882,0.5521294507348902,0.5521294507348902,4,0,0.0,0.5638076887334079,0.5638076887334079,0.2313906073597705,0.2313906073597705,18,12,0.6666666666666666,0.046160844268842365,0.046160844268842365,0.6234047492626945,0.6234047492626945,2,0,0.0,0.5638076887334079,0.5638076887334079,0.23139060735977052,0.23139060735977052
family_ablation,qwen3.5:4b,all_crops,state_101,round_pin,33,9,24,1.0,1.0,0,33,18,0.5454545454545454,0.35026057162498553,0.35026057162498553,0.4103420452220401,0.4103420452220401,9,0,0.0,0.8764625163708644,0.8764625163708644,0.07344650434594642,0.07344650434594642,24,18,0.75,0.15293484234528099,0.15293484234528099,0.5366778730505751,0.5366778730505751,3,0,0.0,0.8764625163708644,0.8764625163708644,0.07344650434594642,0.07344650434594642
family_ablation,qwen3.5:4b,all_crops,state_101,Waterproof_Male,11,1,10,1.0,1.0,0,11,6,0.5454545454545454,0.3186678058631276,0.3186678058631276,0.4923196789218673,0.4923196789218673,1,0,0.0,0.8852753606056656,0.8852753606056656,0.04744721607391141,0.04744721607391141,10,6,0.6,0.2620070503888738,0.2620070503888738,0.5368069252066628,0.5368069252066628,1,0,0.0,0.8852753606056656,0.8852753606056656,0.04744721607391141,0.04744721607391141
family_ablation,qwen3.5:4b,all_crops,state_101,USB_Male,11,1,10,1.0,1.0,0,11,10,0.9090909090909091,0.14146300727457328,0.14146300727457328,0.6940609032668493,0.6940609032668493,1,0,0.0,0.8857170935983154,0.8857170935983154,0.031836969428377125,0.031836969428377125,10,10,1.0,0.06703759864219908,0.06703759864219908,0.7602832966506966,0.7602832966506966,1,0,0.0,0.8857170935983154,0.8857170935983154,0.031836969428377125,0.031836969428377125
family_ablation,qwen3.5:4b,all_crops,state_101,DSUB_Male,11,1,10,1.0,1.0,0,11,8,0.7272727272727273,0.22854512410385597,0.22854512410385597,0.6541136260207787,0.6541136260207787,1,0,0.0,0.8566402820385145,0.8566402820385145,0.05894391443399895,0.05894391443399895,10,8,0.8,0.1657356083103901,0.1657356083103901,0.7136305971794566,0.7136305971794566,1,0,0.0,0.8566402820385145,0.8566402820385145,0.05894391443399895,0.05894391443399895
family_ablation,qwen3.5:4b,all_crops,state_202,gear,33,9,24,1.0,1.0,0,33,21,0.6363636363636364,0.350910526916961,0.350910526916961,0.5229359381192569,0.5229359381192569,9,0,0.0,0.8601094466813565,0.8601094466813565,0.06582262633151797,0.06582262633151797,24,21,0.875,0.15996093200531278,0.15996093200531278,0.694353430039659,0.694353430039659,3,0,0.0,0.8601094466813565,0.8601094466813565,0.06582262633151799,0.06582262633151799
family_ablation,qwen3.5:4b,all_crops,state_202,hex_nut,22,4,18,1.0,1.0,0,22,12,0.5454545454545454,0.18422827635368824,0.18422827635368824,0.5127769816351865,0.5127769816351865,4,0,0.0,0.7961182915118281,0.7961182915118281,0.08631573449064636,0.08631573449064636,18,12,0.6666666666666666,0.048252717429657165,0.048252717429657165,0.6075461476673065,0.6075461476673065,2,0,0.0,0.7961182915118281,0.7961182915118281,0.08631573449064638,0.08631573449064638
family_ablation,qwen3.5:4b,all_crops,state_202,round_pin,33,9,24,1.0,1.0,0,33,21,0.6363636363636364,0.344543441643065,0.344543441643065,0.3967545888195725,0.3967545888195725,9,0,0.0,0.8967469536482828,0.8967469536482828,0.06297291025735599,0.06297291025735599,24,21,0.875,0.13746712464110833,0.13746712464110833,0.5219227182804037,0.5219227182804037,3,0,0.0,0.8967469536482827,0.8967469536482827,0.06297291025735598,0.06297291025735598
family_ablation,qwen3.5:4b,all_crops,state_202,Waterproof_Male,11,1,10,0.9,0.9,0,11,5,0.45454545454545453,0.3608086548856502,0.3608086548856502,0.43017582693392314,0.43017582693392314,1,0,0.0,0.8149529064679002,0.8149529064679002,0.09735193094061736,0.09735193094061736,10,5,0.5,0.3153942297274252,0.3153942297274252,0.4634582165332537,0.4634582165332537,1,0,0.0,0.8149529064679002,0.8149529064679002,0.09735193094061736,0.09735193094061736
family_ablation,qwen3.5:4b,all_crops,state_202,USB_Male,11,1,10,1.0,1.0,0,11,10,0.9090909090909091,0.14961216761789814,0.14961216761789814,0.6810297625152466,0.6810297625152466,1,0,0.0,0.9012398731141236,0.9012398731141236,0.02452696723496377,0.02452696723496377,10,10,1.0,0.07444939706827561,0.07444939706827561,0.7466800420432749,0.7466800420432749,1,0,0.0,0.9012398731141236,0.9012398731141236,0.02452696723496377,0.02452696723496377
family_ablation,qwen3.5:4b,all_crops,state_202,DSUB_Male,11,1,10,1.0,1.0,0,11,8,0.7272727272727273,0.2437620704539526,0.2437620704539526,0.6176169374067015,0.6176169374067015,1,0,0.0,0.8609841496477156,0.8609841496477156,0.05560795055209415,0.05560795055209415,10,8,0.8,0.18203986253457627,0.18203986253457627,0.6738178360921623,0.6738178360921623,1,0,0.0,0.8609841496477156,0.8609841496477156,0.05560795055209415,0.05560795055209415
family_ablation,qwen3.5:4b,all_crops,state_303,gear,33,9,24,1.0,1.0,0,33,18,0.5454545454545454,0.3993548000122682,0.3993548000122682,0.49173121227706224,0.49173121227706224,9,0,0.0,0.9054073498424411,0.9054073498424411,0.05047115597805785,0.05047115597805785,24,18,0.75,0.20958509382595328,0.20958509382595328,0.6572037333891889,0.6572037333891889,3,0,0.0,0.9054073498424412,0.9054073498424412,0.05047115597805785,0.05047115597805785
