condition,model,scope,state,target_family,threshold,family_total,family_retained_lower,family_retained_upper,family_rate_lower,family_rate_upper,unrelated_total,unrelated_retained_lower,unrelated_retained_upper,unrelated_rate_lower,unrelated_rate_upper,own_total,own_retained_lower,own_retained_upper,own_rate_lower,own_rate_upper
baseline,qwen3.5:4b,all_crops,state_101,all,0.35,25,24,24,0.96,0.96,96,12,12,0.125,0.125,11,11,11,1.0,1.0
baseline,qwen3.5:4b,all_crops,state_101,all,0.36,25,24,24,0.96,0.96,96,12,12,0.125,0.125,11,11,11,1.0,1.0
baseline,qwen3.5:4b,all_crops,state_101,all,0.37,25,24,24,0.96,0.96,96,11,11,0.11458333333333333,0.11458333333333333,11,11,11,1.0,1.0
baseline,qwen3.5:4b,all_crops,state_101,all,0.38,25,24,24,0.96,0.96,96,10,10,0.10416666666666667,0.10416666666666667,11,11,11,1.0,1.0
baseline,qwen3.5:4b,all_crops,state_101,all,0.39,25,24,24,0.96,0.96,96,8,8,0.08333333333333333,0.08333333333333333,11,11,11,1.0,1.0
baseline,qwen3.5:4b,all_crops,state_101,all,0.4,25,24,24,0.96,0.96,96,7,7,0.07291666666666667,0.07291666666666667,11,11,11,1.0,1.0
baseline,qwen3.5:4b,all_crops,state_101,all,0.41,25,24,24,0.96,0.96,96,7,7,0.07291666666666667,0.07291666666666667,11,11,11,1.0,1.0
baseline,qwen3.5:4b,all_crops,state_101,all,0.42,25,24,24,0.96,0.96,96,7,7,0.07291666666666667,0.07291666666666667,11,11,11,1.0,1.0
baseline,qwen3.5:4b,all_crops,state_101,all,0.43,25,24,24,0.96,0.96,96,7,7,0.07291666666666667,0.07291666666666667,11,11,11,1.0,1.0
baseline,qwen3.5:4b,all_crops,state_101,all,0.44,25,24,24,0.96,0.96,96,6,6,0.0625,0.0625,11,11,11,1.0,1.0
baseline,qwen3.5:4b,all_crops,state_101,all,0.45,25,24,24,0.96,0.96,96,6,6,0.0625,0.0625,11,11,11,1.0,1.0
baseline,qwen3.5:4b,all_crops,state_101,all,0.46,25,24,24,0.96,0.96,96,6,6,0.0625,0.0625,11,11,11,1.0,1.0
baseline,qwen3.5:4b,all_crops,state_101,all,0.47,25,24,24,0.96,0.96,96,6,6,0.0625,0.0625,11,11,11,1.0,1.0
baseline,qwen3.5:4b,all_crops,state_101,all,0.48,25,24,24,0.96,0.96,96,5,5,0.052083333333333336,0.052083333333333336,11,11,11,1.0,1.0
baseline,qwen3.5:4b,all_crops,state_101,all,0.49,25,24,24,0.96,0.96,96,5,5,0.052083333333333336,0.052083333333333336,11,11,11,1.0,1.0
baseline,qwen3.5:4b,all_crops,state_101,all,0.5,25,24,24,0.96,0.96,96,5,5,0.052083333333333336,0.052083333333333336,11,11,11,1.0,1.0
baseline,qwen3.5:4b,all_crops,state_101,all,0.51,25,24,24,0.96,0.96,96,5,5,0.052083333333333336,0.052083333333333336,11,11,11,1.0,1.0
baseline,qwen3.5:4b,all_crops,state_101,all,0.52,25,24,24,0.96,0.96,96,5,5,0.052083333333333336,0.052083333333333336,11,11,11,1.0,1.0
baseline,qwen3.5:4b,all_crops,state_101,all,0.53,25,24,24,0.96,0.96,96,5,5,0.052083333333333336,0.052083333333333336,11,11,11,1.0,1.0
baseline,qwen3.5:4b,all_crops,state_101,all,0.54,25,24,24,0.96,0.96,96,5,5,0.052083333333333336,0.052083333333333336,11,11,11,1.0,1.0
baseline,qwen3.5:4b,all_crops,state_101,all,0.55,25,24,24,0.96,0.96,96,4,4,0.041666666666666664,0.041666666666666664,11,11,11,1.0,1.0
baseline,qwen3.5:4b,all_crops,state_101,all,0.56,25,24,24,0.96,0.96,96,4,4,0.041666666666666664,0.041666666666666664,11,11,11,1.0,1.0
